participant_id,session_id,event_order,event_time_fnirs,event_duration_fnirs,event_label_raw,event_code_raw,source,global_analysis_excluded,global_exclusion_reason
PID002,2025-11-06_PID002,162,3905.16913,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,163,3905.677867,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,164,4058.985078,10.0,92,92,snirf,False,
PID002,2025-11-06_PID002,165,4061.987112,10.0,91,91,snirf,False,
PID002,2025-11-06_PID002,166,4065.9858,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,167,4066.078606,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,168,4090.598826,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,169,4095.792879,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,170,4144.182711,10.0,22,22,snirf,False,
PID002,2025-11-06_PID002,171,4147.906345,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,172,4147.922892,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,173,4173.970672,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,174,4181.02728,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,175,4204.589195,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,176,4209.329062,10.0,99,99,snirf,False,
PID002,2025-11-06_PID002,177,4209.350319,10.0,11,11,snirf,False,
PID002,2025-11-06_PID002,178,4251.460877,10.0,14,14,snirf,False,
PID002,2025-11-06_PID002,179,4255.668247,10.0,15,15,snirf,False,
PID002,2025-11-06_PID002,180,4333.018862,10.0,21,21,snirf,False,
PID002,2025-11-06_PID002,181,4333.527375,10.0,93,93,snirf,False,
PID002,2025-11-06_PID002,182,4482.002073,10.0,92,92,snirf,False,
PID003,2025-11-11_003,1,6.760105,10.0,12,12,snirf,False,
PID003,2025-11-11_003,2,6.760941,10.0,12,12,snirf,False,
PID003,2025-11-11_003,3,171.617469,10.0,12,12,snirf,False,
PID003,2025-11-11_003,4,172.999378,10.0,12,12,snirf,False,
PID003,2025-11-11_003,5,177.648628,10.0,12,12,snirf,False,
PID003,2025-11-11_003,6,177.666626,10.0,12,12,snirf,False,
PID003,2025-11-11_003,7,188.822292,10.0,12,12,snirf,False,
