participant_id,session_id,block,trial_idx_in_block,trial_idx_global,question_id,question_type,question_id_matches_trigger,question_start_time,answer_time,answer_latency_sec,epoch_start_time,epoch_end_time,baseline_start_time,baseline_end_time,full_epoch_available,baseline_available,front_hbo_n_channels,back_hbo_n_channels,front_hbr_n_channels,back_hbr_n_channels,included_step5_trial,exclusion_reason_code,exclusion_reason_detail,source_log
PID003,2025-11-11_003,A4,2,26,2021_CH_51,Abstract,True,3613.857087,3687.040467,73.18337999999994,3610.357087,3627.0570869999997,3611.857087,3613.857087,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A4,3,27,2019_CH_64,Abstract,True,3691.546406,3744.36667,52.82026399999995,3688.046406,3704.7464059999998,3689.546406,3691.546406,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A5,1,28,2019_CH_56,Abstract,True,3973.169013,4058.383122,85.21410900000001,3969.669013,3986.369013,3971.169013,3973.169013,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A5,2,29,2020_CH_76,Abstract,True,4063.759121,4165.865788,102.10666700000002,4060.259121,4076.959121,4061.759121,4063.759121,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID003,2025-11-11_003,A5,3,30,2020_LC_31,Abstract,True,4169.941561,4256.383928,86.44236700000056,4166.441561,4183.1415609999995,4167.941561,4169.941561,True,True,7,7,7,7,True,,,enem_blocks_PID003_20251111_140525.csv
PID004,2025-11-11_004,C1,1,1,2017_CH_75,Concrete,True,245.404079,325.021588,79.61750900000001,241.904079,258.604079,243.404079,245.404079,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C1,2,2,2020_CH_59,Concrete,True,328.761894,432.719983,103.95808900000003,325.261894,341.961894,326.761894,328.761894,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C1,3,3,2017_CH_69,Concrete,True,436.956608,535.672712,98.71610400000003,433.456608,450.156608,434.956608,436.956608,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C2,1,4,2021_LC_26,Concrete,True,666.029383,801.28042,135.251037,662.529383,679.2293830000001,664.029383,666.029383,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
PID004,2025-11-11_004,C2,2,5,2021_CH_76,Concrete,True,805.600958,851.921954,46.32099600000004,802.100958,818.800958,803.600958,805.600958,True,True,5,5,5,5,True,,,enem_blocks_pid004_20251111_154532.csv
