participant_id,folder_name,timestamp_raw,timestamp_iso,question_id,raw_value,raw_key_present,source_json,source_json_full_path
PID007,PID007,20251113_163330,2025-11-13 16:33:30,first_gen_he,No,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,first_language,spanish,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,gender,female,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,highest_degree,doctorate,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,living_arrangement,Renter,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,nationality,Colombian,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,other_languages,english,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,parent_a_edu,Bachelor,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,parent_b_edu,Bachelor,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,primary_school_langs,Spanish,True,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,programme_name,,False,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,study_level,,False,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
PID007,PID007,20251113_163330,2025-11-13 16:33:30,year_in_programme,,False,socio_pid007_20251113_163330.json,/home/thiago/Documents/fnirs/simple/sessions/Sessions 13-11-25/PID007/socio_pid007_20251113_163330.json
