participant_id,participant_folder,timestamp_raw,timestamp_iso,source_log,source_log_full_path,phase,block,trial_idx_in_block,question_number,question_year,question_field,question_type_log,t_abs,rt_from_phase,choice,correct_raw,button_click_time,option_view_time,marker_name,marker_code,note
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_options_on,A4,1,65,2021,CH,abstract,1712.833013,9.029998909682035e-05,,,,,Q_OPTIONS_ON,15,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,answer,A4,1,65,2021,CH,abstract,1770.003752,57.17082899999514,B,,,57.170813,ANS_B,22,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,iti,A4,2,64,2019,CH,abstract,1774.528859,4.000282499997411,,,,,ITI,99,ITI duration: 3.99s
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_text_on,A4,2,64,2019,CH,abstract,1774.569213,7.840000034775585e-05,,,,,Q_TEXT_ON,11,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_stem_on,A4,2,64,2019,CH,abstract,1778.652996,8.199999865610152e-05,,,,,Q_STEM_ON,14,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_options_on,A4,2,64,2019,CH,abstract,1844.526489,5.94000011915341e-05,,,,,Q_OPTIONS_ON,15,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,answer,A4,2,64,2019,CH,abstract,1867.057296,22.530866200002492,C,,,22.530854,ANS_C,23,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,iti,A4,3,76,2020,CH,abstract,1870.678846,3.113800999999512,,,,,ITI,99,ITI duration: 3.09s
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_text_on,A4,3,76,2020,CH,abstract,1870.716882,6.10999995842576e-05,,,,,Q_TEXT_ON,11,
PID001,PID001,20251106_124958,2025-11-06 12:49:58,enem_blocks_PID01_20251106_124958.csv,/home/thiago/Documents/fnirs/simple/sessions/Sessions 05-11-25/PID001/enem_blocks_PID01_20251106_124958.csv,q_stem_on,A4,3,76,2020,CH,abstract,1903.678413,5.729999975301325e-05,,,,,Q_STEM_ON,14,
